"Article","Information Search","Price Decisions","Crowding-out/-in","Overjustification","(Re)Purchase intention/ behavior/ booking/ revenue/ visit/sales","Time_to_receive/write_feedback/reaction time","(Perceived) Helpfulness/Usefulness (helpful votes, likes,…)","Length and Information volumn ","Coherence","Details","Insert Pictures","Objectivity","Topic Diversity and relevance","Diagnostivity/diagnosticity","Lexical complexity/richness/ density","Readibility","Valence, emotional tone","Quantity (Number of reviews, eWOM continuity)","Post fakes","Quantity (Unincentivized reviews)","Lexical complexity/richness/ density (Unincentivized reviews)","Valence (Unincentivized reviews)","Images (Unincentivized reviews)","Length (Unincentivized reviews)","Usefulness votes (Unincentivized reviews)"
"Understanding and Encouraging Online Reviewing With a Selection-Based Review System","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","o","NA","NA","NA","NA","NA","NA","NA"
"Effects of Sponsorship Disclosure on Brand Attitude via Resistance Strategies Under Moderation of Review Valence in Online Consumer Reviews","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Extrinsic versus Intrinsic Rewards for Contributing Reviews in an Online Platform","NA","NA","NA","NA","NA","NA","-","-","NA","-","NA","NA","NA","NA","NA","-","+","+","NA","NA","NA","NA","NA","NA","NA"
"An Empirical Study of Free Product Sampling and Rating Bias","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA"
"Motivation of user-generated content: Social connectedness moderates the effects of monetary rewards","NA","NA","NA","NA","NA","NA","-/o","o","NA","NA","NA","NA","NA","NA","NA","NA","NA","-","NA","NA","NA","NA","NA","NA","NA"
"Financial incentives dampen altruism in online prosocial contributions: A study of online reviews","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-","+","NA","-","o"
"Uncertainty Reduction vs. Reciprocity: Understanding the Effect of a Platform-Initiated Reviewer Incentive Program on Regular Ratings","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","+","NA","NA","NA"
"Speaking for “free”: Word of mouth in free-and paid-product settings","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"Incentives Can Reduce Bias in Online Employer Reviews","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+/-","+","NA","NA","NA","NA","NA","NA","NA"
"Online travel review posting intentions: a social exchange theory perspective","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"Electronic word-of-mouth via consumer-opinion platforms: What motivates consumers to articulate themselves on the Internet?","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"The role of reviewer badges in the dynamics of online reviews","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-","NA","NA","NA","NA","NA","NA","NA","NA"
"Rebate strategy to stimulate online customer reviews","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"Who should pay for online reviews? Design of an online user feedback mechanism","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","+","+","NA","NA","NA","NA","NA","NA"
"Incentivized reviews: Promising the moon for a few stars","+","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","+","NA","NA","NA","NA","NA","NA","NA"
"The interplay between free sampling and word of mouth in the online software market","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"Status reinforcing: Unintended rating bias on online shopping platforms","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-","NA","NA","NA","NA","NA","NA","NA","NA"
"Detecting incentivized review groups with co-review graph","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","+","NA","NA","NA","NA","NA","NA"
"How to prevent negative online customer reviews: the moderating roles of monetary compensation and psychological compensation","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Be a “Superhost”: The importance of badge systems for peer-to-peer rental accommodations","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","+","NA","NA","NA","NA","NA","NA","NA"
"Credible Effects: The Impact of Disclosure of Material Connections Within Online Product Reviews","NA","NA","NA","NA","-","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"A Dollar for Your Thoughts: Feedback-Conditional Rebates on eBay","NA","NA","NA","NA","NA","o","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","+/o","NA","NA","NA","NA","NA","NA","NA"
"Gamification in tourism and hospitality review platforms: How to R.A.M.P. up users’ motivation to create content","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"Understanding Users’ Urge to Post Online Reviews: A Study Based on Existence, Relatedness, and Growth Theory","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"UNDERSTANDING CROWDTURFING: THE DIFFERENT ETHICAL LOGICS BEHIND THE CLANDESTINE INDUSTRY OF DECEPTION","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","+","NA","NA","NA","NA","NA","NA"
